MonthlyCharges,tenure,TotalCharges,Contract,PaymentMethod,OnlineSecurity,TechSupport,InternetService,Churn
29.85,1,2505,0,2,0,0,0,0
56.95,34,1466,1,3,2,0,0,0
53.85,2,157,0,3,2,0,0,1
42.3,45,1400,1,0,2,2,0,0
70.7,2,925,0,2,0,0,1,1
99.65,8,6104,0,2,0,0,1,1
89.1,22,1550,0,1,0,0,1,0
29.75,10,2609,0,3,2,0,0,0
104.8,28,2646,0,2,0,2,1,1
56.15,62,3022,1,0,2,0,0,0
49.95,13,4823,0,3,2,0,0,0
18.95,16,2836,2,1,1,1,2,0
100.35,58,4693,1,1,0,0,1,0
103.7,49,4265,0,0,0,0,1,1
105.5,25,2337,0,2,2,2,1,0
113.25,69,5959,2,1,2,2,1,0
20.65,52,46,1,3,1,1,2,0
106.7,71,5704,2,0,2,0,1,0
55.2,10,4416,0,1,0,2,0,1
90.05,21,1433,0,2,0,0,1,0
39.65,1,3340,0,2,0,0,0,1
19.8,12,1651,1,0,1,1,2,0
20.15,1,1609,0,3,1,1,2,1
59.9,58,3041,2,1,0,2,0,0
59.6,49,2567,0,1,2,2,0,0
55.3,30,959,0,0,2,0,0,0
99.35,47,4019,0,2,0,0,1,1
30.2,1,2592,0,2,0,0,0,1
90.25,72,5135,2,1,2,2,0,0
64.7,17,184,0,3,0,0,0,1
96.35,71,5354,2,1,2,2,1,0
95.5,2,1360,0,1,0,0,1,0
66.15,27,1449,1,3,2,2,0,0
20.2,1,1610,0,0,1,1,2,0
45.25,1,3815,0,0,0,0,0,0
99.9,72,5644,2,0,2,2,1,0
69.7,5,2742,0,2,0,0,1,1
74.8,46,3073,0,1,0,0,1,0
106.35,34,3074,0,2,0,0,1,1
97.85,11,202,0,0,0,0,1,1
49.55,10,4024,1,3,0,0,0,0
69.2,70,4118,2,1,2,0,0,0
20.75,17,3572,1,3,1,1,2,0
79.85,63,4105,2,1,2,2,0,0
76.2,13,6503,0,2,2,2,0,0
84.5,49,3348,0,2,0,0,1,0
49.25,2,6481,0,3,0,0,0,0
80.65,2,809,0,2,0,0,1,1
79.75,52,3599,2,1,2,2,0,0
64.15,69,3625,2,1,2,2,0,0
90.25,43,3285,0,2,0,0,1,0
99.1,15,789,0,1,2,0,1,1
69.5,25,1275,0,1,2,2,0,0
80.65,8,5113,0,1,0,0,1,1
74.85,60,3782,1,1,2,2,0,0
95.45,18,1274,0,2,0,0,1,1
99.65,63,5104,1,1,2,0,1,0
108.45,66,5555,1,2,0,2,1,0
24.95,34,6314,2,1,1,1,2,0
107.5,72,5937,2,1,0,2,1,0
100.5,47,3985,0,2,0,0,1,0
89.9,60,4530,0,0,0,0,1,0
42.1,72,2558,2,0,2,0,0,0
54.4,18,6459,1,1,0,2,0,0
94.4,9,6234,0,2,0,0,1,1
75.3,3,2086,0,2,0,2,0,0
78.9,47,3157,1,2,0,0,1,0
79.2,31,2143,2,3,0,2,0,0
20.15,50,6399,2,0,1,1,2,0
79.85,10,6290,0,3,2,0,1,0
49.05,1,4137,0,3,0,2,0,0
20.4,52,181,1,2,1,1,2,0
111.6,64,5563,2,0,2,2,1,0
24.25,62,785,2,0,1,1,2,0
64.5,3,1295,0,0,2,2,0,0
110.5,56,5009,1,2,2,0,1,0
55.65,46,2339,1,1,0,0,0,0
54.65,8,4071,0,3,2,0,0,0
74.75,30,1742,0,2,2,0,0,0
25.9,45,397,1,1,1,1,2,0
79.35,1,5966,0,2,0,0,1,1
50.55,11,4676,0,2,2,0,0,0
75.15,7,4199,0,0,0,0,1,1
103.8,42,3682,0,0,0,2,1,0
20.15,49,6491,2,0,1,1,2,0
99.3,9,6364,0,1,0,0,1,0
62.15,35,1852,1,0,2,0,0,0
20.65,48,108,2,0,1,1,2,0
19.95,46,6382,2,3,1,1,2,0
33.75,29,19,0,3,0,0,0,0
82.05,30,2229,0,0,0,0,1,0
74.7,1,5723,0,2,0,2,1,0
